sid,Date,Open,High,Low,4. close,Volume
105,3/25/2019,359,367.040009,357.440002,366.230011,8473800
105,3/26/2019,367.869995,368.380005,358.019989,359.970001,7666500
105,3/27/2019,361,362.470001,350.369995,353.369995,7852400
105,3/28/2019,354.48999,355.940002,349.200012,354.609985,4361000
105,3/29/2019,357.160004,358.25,353.709991,356.559998,4705600
105,4/1/2019,359,368.329987,358.51001,366.959991,7036100
105,4/2/2019,366.25,368.420013,362.220001,367.720001,5158700
105,4/3/2019,369.26001,373.410004,366.190002,369.75,5368900
105,4/4/2019,370.070007,372.049988,362.399994,367.880005,4627300
105,4/5/2019,369,369.799988,364.660004,365.48999,3905500
105,4/8/2019,365.109985,365.940002,359.929993,361.410004,4653800
105,4/9/2019,360.540009,366.73999,359,364.709991,5439200
105,4/10/2019,365.790009,368.850006,362.25,363.920013,4545600
105,4/11/2019,365,370.119995,360.809998,367.649994,6526900
105,4/12/2019,360.690002,361.75,349.359985,351.140015,15646200
105,4/15/2019,350.709991,352.209991,342.269989,348.869995,8842300
105,4/16/2019,355,364.480011,352.720001,359.459991,18740200
105,4/17/2019,365.049988,368.76001,350.600006,354.73999,18054100
105,4/18/2019,355,360.410004,351.640015,360.350006,8353200
105,4/22/2019,359.700012,377.690002,359,377.339996,11980500
105,4/23/2019,375.450012,384.799988,374.709991,381.890015,10089800
105,4/24/2019,381.070007,381.899994,373.269989,374.230011,6541900
105,4/25/2019,374.48999,374.76001,365.700012,368.329987,6255500
105,4/26/2019,368.350006,375.140015,366.23999,374.850006,5621900
105,4/29/2019,373.679993,374.579987,369.119995,371.829987,3821700
105,4/30/2019,369.559998,374.5,368.350006,370.540009,3870100
105,5/1/2019,374,385.98999,373.170013,378.809998,9257300
105,5/2/2019,378,383.5,374.51001,379.059998,5398200
105,5/3/2019,381.529999,385.029999,378.269989,385.029999,5130300
105,5/6/2019,377.690002,381.350006,376,378.670013,5793100
105,5/7/2019,377,379.910004,365.809998,370.459991,6974900
105,5/8/2019,367.920013,369,361.359985,364.369995,6572000
105,5/9/2019,360.899994,364.200012,352.75,362.75,5882600
105,5/10/2019,361.619995,365.26001,353.059998,361.040009,5657100
105,5/13/2019,352.290009,354.26001,343.100006,345.26001,8026700
105,5/14/2019,348.709991,349.950012,342.5,345.609985,5353000
105,5/15/2019,343.339996,356.5,341.390015,354.98999,6340100
105,5/16/2019,356.369995,364,353.940002,359.309998,6441500
105,5/17/2019,356.390015,359.619995,353.790009,354.450012,4725400
105,5/20/2019,351.230011,352.420013,345.399994,348.109985,4621500
105,5/21/2019,350.950012,356.429993,349.929993,354.269989,4026400
105,5/22/2019,358.01001,370.459991,357.299988,359.730011,6229400
105,5/23/2019,355.5,357.420013,347.700012,352.209991,5630400
105,5/24/2019,355.410004,359.440002,353.790009,354.390015,3831000
105,5/28/2019,354.390015,361.200012,353.649994,355.059998,4717100
105,5/29/2019,353.600006,353.850006,345.899994,349.190002,5658900
105,5/30/2019,350.549988,354.209991,348.299988,351.850006,4008000
105,5/31/2019,347.220001,349.339996,342.920013,343.279999,5023400
105,6/3/2019,343.559998,347.660004,332.649994,336.630005,7849600
105,6/4/2019,345,353.609985,343.25,353.399994,7891600
105,6/5/2019,354.380005,357.880005,348.709991,355.730011,5020100
105,6/6/2019,354.839996,358.209991,352.089996,357.130005,3710000
105,6/7/2019,357.390015,365.149994,355.690002,360.869995,4777300
105,6/10/2019,363.649994,367.100006,349.290009,352.01001,7810300
105,6/11/2019,355,357.579987,348.5,351.269989,5396700
105,6/12/2019,351.820007,353.609985,343.230011,345.559998,4584700
105,6/13/2019,347.230011,348.5,339.25,343.429993,6209300
105,6/14/2019,341.630005,343.399994,336.160004,339.730011,5019000
105,6/17/2019,342.690002,351.769989,342.059998,350.619995,5358200
105,6/18/2019,355.570007,361.5,353.75,357.119995,5428500
105,6/19/2019,361.720001,364.73999,356.119995,363.519989,5667200
105,6/20/2019,365.910004,370.119995,361.220001,365.209991,5899500
105,6/21/2019,365,371.450012,365,369.209991,7448400
105,6/24/2019,370.269989,375,370.200012,371.040009,4830200
105,6/25/2019,370.75,371,358.290009,360.299988,5750400
105,6/26/2019,361.600006,366.790009,361.600006,362.200012,3669700
105,6/27/2019,363.200012,370.850006,363.200012,370.019989,4138600
105,6/28/2019,370.26001,371.540009,364.869995,367.320007,4592700
105,7/1/2019,373.5,376.660004,372,374.600006,4992600
105,7/2/2019,374.890015,376,370.309998,375.429993,3625000
105,7/3/2019,376.690002,381.98999,375.839996,381.720001,3799000
105,7/5/2019,378.290009,381.399994,375.559998,380.549988,3732200
105,7/8/2019,378.190002,378.25,375.359985,376.160004,3113400
105,7/9/2019,379.059998,384.76001,377.5,379.929993,6932800
105,7/10/2019,382.769989,384.339996,362.679993,381,5878800
105,7/11/2019,381.100006,384.540009,378.799988,379.5,4336300
105,7/12/2019,378.679993,379.73999,372.790009,373.25,6636900
105,7/15/2019,372.940002,373.679993,362.299988,366.600006,7944700
105,7/16/2019,370.089996,371.339996,364.920013,365.98999,5863200
105,7/17/2019,366.25,366.5,361.75,362.440002,13639500
105,7/18/2019,323.76001,329.850006,320.299988,325.209991,31305900
105,7/19/2019,323.399994,325.850006,314.230011,315.100006,16302500
105,7/22/2019,312,314.540009,305.809998,310.619995,17718000
105,7/23/2019,311.440002,313.5,306,307.299988,9171100
105,7/24/2019,310.51001,319.98999,307.25,317.940002,11961800
105,7/25/2019,318.859985,327.690002,316.299988,326.459991,10798500
105,7/26/2019,328.790009,336,327.5,335.779999,10847500
105,7/29/2019,335.980011,336.399994,328.769989,332.700012,5782800
105,7/30/2019,329.200012,329.649994,323.230011,325.929993,6029300
105,7/31/2019,325.160004,331.769989,318.529999,322.98999,6259500
105,8/1/2019,324.25,328.579987,318.73999,319.5,6563200
105,8/2/2019,317.48999,319.410004,311.799988,318.829987,6280300
105,8/5/2019,310.959991,313.420013,304.679993,307.630005,8692500
105,8/6/2019,310.579987,311.880005,305.299988,310.100006,6179100
105,8/7/2019,302.559998,305,296.809998,304.290009,9322400
105,8/8/2019,311.029999,316.359985,306.630005,315.899994,5905900
105,8/9/2019,313.73999,316.640015,305.679993,308.929993,5349100
105,8/12/2019,305.459991,312.890015,303.23999,310.829987,6531700
105,8/13/2019,309.769989,316.429993,308.160004,312.279999,5289400
105,8/14/2019,308.01001,308.410004,298.01001,299.109985,7355800
105,8/15/2019,299.5,300.630005,288,295.76001,9629200
105,8/16/2019,298.859985,303.549988,296.269989,302.799988,6905800
